
ATNF Pulsar Catalogue
Catalogue Version: 2.4.0
#;P0;P1;BINARY;ASSOC;PSR;
;(s);;(type);;TYPE;
407;*;*;*;*;RRAT[ttm18];
408;0.571257;1.16e-15;*;*;*;
409;2.191987;4.21e-15;*;*;*;
410;2.063100;*;*;*;*;
411;11.370386;5.56e-14;*;XRS:RX_J0806.4-4123[hmp98],OPT:[kkvh11];XINS,NRAD;
412;0.526644;3.78e-16;*;*;*;
413;0.866349;4.01e-16;*;*;*;
414;0.547202;3.08e-15;*;*;*;
415;1.248300;*;*;*;*;
416;0.482596;4.49e-17;*;*;*;
417;0.531400;*;*;*;*;
418;1.292241;1.68e-16;*;*;*;
419;0.645161;1.39e-16;*;*;*;
420;0.434242;3.90e-18;*;*;*;
421;0.763742;5.80e-16;*;*;*;
422;2.161259;7.53e-16;*;*;*;
423;1.238130;2.11e-15;*;*;*;
424;0.124837;2.44e-15;*;*;*;
425;1.073567;1.22e-14;*;*;*;
426;0.545446;1.98e-17;*;*;*;
427;0.396728;3.48e-15;*;*;*;
428;0.112799;9.29e-18;*;SNR:PUPPIS_A,XRS:RX_J0822-4300;NRAD;
429;0.864873;1.05e-16;BT;*;*;
430;0.009861;1.47e-19;DDH;*;*;
431;0.530661;1.71e-15;*;*;HE[bwt+04];
432;0.013500;*;*;*;*;
433;1.848919;9.96e-16;*;*;*;
434;0.311674;1.28e-15;*;*;*;
435;0.121118;4.28e-15;*;*;*;
436;0.384645;*;*;*;*;
437;0.541404;9.78e-15;*;*;*;
438;0.089328;1.25e-13;*;GRS:4FGL_J0835.3-4510[aab+22],SNR:Vela,G;HE[hg73],HE[tfko75];
439;0.738436;1.32e-15;*;*;*;
440;1.273768;6.80e-15;*;*;*;
441;0.629410;3.49e-13;*;*;*;
442;0.751625;3.54e-15;*;*;*;
443;0.308581;3.90e-17;*;*;*;
444;1.703946;8.13e-16;*;*;*;
445;0.449339;*;*;*;*;
446;0.720614;1.64e-15;*;*;*;
447;0.644354;9.56e-15;*;*;*;
448;1.365860;*;*;*;*;
449;0.002846;*;BT;GRS:4FGL_J0843.3+6712[aab+22];HE[trr+21],HE[aab+22];
450;0.208956;1.72e-16;*;*;*;
451;1.116098;1.60e-15;*;*;*;
452;5.977493;1.20e-13;*;*;RRAT;
453;0.452400;*;*;*;*;
454;1.602228;4.46e-16;*;*;*;
455;0.367953;7.91e-16;*;*;*;
456;0.473156;*;*;*;*;
457;1.233033;3.12e-16;*;*;*;
458;1.267536;6.32e-15;*;*;*;
459;0.064686;7.26e-15;*;SNR:RX_J0852.0-4622[rm05],PWN:[mav17],PW;*;
460;0.575072;1.36e-14;*;*;*;
461;0.962511;1.68e-15;*;*;*;
462;0.242961;2.40e-16;*;*;*;
463;0.326786;2.09e-14;*;*;*;
464;0.011110;4.89e-20;T2;*;*;
465;0.441995;8.75e-14;*;*;*;
466;0.660313;1.07e-16;*;*;*;
467;0.965173;1.88e-15;*;*;*;
468;0.549554;4.61e-16;*;*;*;
469;0.988281;1.49e-16;*;*;*;
470;0.346301;2.49e-14;*;*;*;
471;0.340854;5.22e-16;*;*;*;
